"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","system","name","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count","asset_score","asset_type_code","asset_type","asset_category","linked_room_source","linked_room_link","linked_room_number","linked_room_name","linked_room_department","linked_room_building","linked_room_site","resolved_department","resolved_building","resolved_site","derived_wbs00","derived_wbs01","derived_wbs03","derived_wbs05","derived_wbs_code"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Category","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626160","NWB_Category","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Department","","","","SKIP","no source value","","","","NWB_Department","","","","","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Material","","","","SKIP","no source value","","","","NWB_Material","","","","","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_System","Exhaust Air","Exhaust Air","Exhaust Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_UniclassCode","Pr_65_65_25","Pr_65_65_25","Pr_65_65_25","SKIP","already-matches","instance","Shared Parameter","7626165","NWB_UniclassCode","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_UniclassDescription","Ductwork and fittings","Ductwork and fittings","Ductwork and fittings","SKIP","already-matches","instance","Shared Parameter","7626166","NWB_UniclassDescription","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_DesignPkg","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","SKIP","already-matches","instance","Shared Parameter","7626167","NWB_DesignPkg","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_BuildingPermitPkg","WBH - BP09","","","SKIP","missing","","","","NWB_BuildingPermitPkg","","","0","0","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS00","WBH","WBH","WBH","SKIP","already-matches","instance","Shared Parameter","9214738","NWB_WBS00","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS01","HO","HO","HO","SKIP","already-matches","instance","Shared Parameter","9214798","NWB_WBS01","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS02","09","09","09","SKIP","already-matches","instance","Shared Parameter","9214786","NWB_WBS02","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS03","Z00","Z00","Z00","SKIP","already-matches","instance","Shared Parameter","9214750","NWB_WBS03","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS04","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","9214762","NWB_WBS04","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS05","SI5","SI5","SI5","SKIP","already-matches","instance","Shared Parameter","9214810","NWB_WBS05","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908708","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBSCode","WBH-HO-09-Z00-ME-SI5","WBH-HO-09-Z00-ME-SI5","WBH-HO-09-Z00-ME-SI5","SKIP","already-matches","instance","Shared Parameter","9214774","NWB_WBSCode","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_AssetTypeCode","MDUC","MDUC","MDUC","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_AssetType","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_Discipline","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_Category","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626160","NWB_Category","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_Material","","","","SKIP","no source value","","","","NWB_Material","","","","","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_System","Exhaust Air","Exhaust Air","Exhaust Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_UniclassCode","Pr_65_65_25","Pr_65_65_25","Pr_65_65_25","SKIP","already-matches","instance","Shared Parameter","7626165","NWB_UniclassCode","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_UniclassDescription","Ductwork and fittings","Ductwork and fittings","Ductwork and fittings","SKIP","already-matches","instance","Shared Parameter","7626166","NWB_UniclassDescription","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_DesignPkg","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","SKIP","already-matches","instance","Shared Parameter","7626167","NWB_DesignPkg","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_BuildingPermitPkg","WBH - BP09","","","SKIP","missing","","","","NWB_BuildingPermitPkg","","","0","0","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_WBS00","WBH","WBH","WBH","SKIP","already-matches","instance","Shared Parameter","9214738","NWB_WBS00","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_WBS01","HO","HO","HO","SKIP","already-matches","instance","Shared Parameter","9214798","NWB_WBS01","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_WBS02","09","09","09","SKIP","already-matches","instance","Shared Parameter","9214786","NWB_WBS02","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_WBS04","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","9214762","NWB_WBS04","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908849","Duct Fittings","MHT_DF_Spigot","","LEVEL 09","Exhaust Air","Damper","NWB_WBS05","SI5","SI5","SI5","SKIP","already-matches","instance","Shared Parameter","9214810","NWB_WBS05","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected:14909063:Flex Ducts","NWB-ARC-WBH-AR-MOD-0036","HDU.09.079","Ensuite, Special","HDU","","","HDU","","","WBH","HO","HDU","SI5","WBH-HO-09-HDU-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908879","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Exhaust Air","Standard","NWB_AssetTypeCode","MDUC","MDUC","MDUC","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908879","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Exhaust Air","Standard","NWB_AssetType","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908879","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Exhaust Air","Standard","NWB_Discipline","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908879","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Exhaust Air","Standard","NWB_Category","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626160","NWB_Category","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908879","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Exhaust Air","Standard","NWB_Department","","","","SKIP","no source value","","","","NWB_Department","","","","","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908879","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Exhaust Air","Standard","NWB_Material","9479096","9479096","9479096","SKIP","already-matches","instance","Shared Parameter","7626176","NWB_Material","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
"20260801_155431","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","smart","SharedOnly","skip-other-users","14908879","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Exhaust Air","Standard","NWB_System","Exhaust Air","Exhaust Air","Exhaust Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","45","MDUC","Ductwork","Ductwork","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-09-Z00-ME-SI5"
